Item Code,Item,Crop Herridge et al.
800,Agave fibres nes,
221,"Almonds, with shell",
711,"Anise, badian, fennel, coriander",
515,Apples,
526,Apricots,
226,Areca nuts,
366,Artichokes,
367,Asparagus,
572,Avocados,
203,Bambara beans,Other pulses
486,Bananas,
44,Barley,
782,"Bastfibres, other",
176,"Beans, dry",Common bean
414,"Beans, green",
558,Berries nes,
552,Blueberries,
216,"Brazil nuts, with shell",
181,"Broad beans, horse beans, dry",Faba bean
89,Buckwheat,
358,Cabbages and other brassicas,
101,Canary seed,
461,Carobs,
426,Carrots and turnips,
217,"Cashew nuts, with shell",
591,Cashewapple,
125,Cassava,
265,Castor oil seed,
393,Cauliflowers and broccoli,
108,Cereals nes,
531,Cherries,
530,"Cherries, sour",
220,Chestnut,
191,Chick peas,Chickpea
459,Chicory roots,
689,"Chillies and peppers, dry",
401,"Chillies and peppers, green",
693,Cinnamon (cannella),
698,Cloves,
661,"Cocoa, beans",
249,Coconuts,
656,"Coffee, green",
195,"Cow peas, dry",
554,Cranberries,
397,Cucumbers and gherkins,
550,Currants,
577,Dates,
399,Eggplants (aubergines),
821,Fibre crops nes,
569,Figs,
773,Flax fibre and tow,
94,Fonio,
512,"Fruit, citrus nes",
619,"Fruit, fresh nes",
542,"Fruit, pome nes",
541,"Fruit, stone nes",
603,"Fruit, tropical fresh nes",
406,Garlic,
720,Ginger,
549,Gooseberries,
103,"Grain, mixed",
507,Grapefruit (inc. pomelos),
560,Grapes,
242,"Groundnuts, with shell",Groundnut
839,"Gums, natural",
225,"Hazelnuts, with shell",
777,Hemp tow waste,
336,Hempseed,
677,Hops,
277,Jojoba seed,
780,Jute,
310,Kapok fruit,
263,Karite nuts (sheanuts),
592,Kiwi fruit,
224,Kola nuts,
407,"Leeks, other alliaceous vegetables",
497,Lemons and limes,
201,Lentils,Other
372,Lettuce and chicory,
333,Linseed,
210,Lupins,Lupin
56,Maize,
446,"Maize, green",
571,"Mangoes, mangosteens, guavas",
809,Manila fibre (abaca),
671,Maté,
568,"Melons, other (inc.cantaloupes)",
299,Melonseed,
79,Millet,
449,Mushrooms and truffles,
292,Mustard seed,
702,"Nutmeg, mace and cardamoms",
234,Nuts nes,
75,Oats,
254,Oil palm fruit,
339,Oilseeds nes,
430,Okra,
260,Olives,
403,"Onions, dry",
402,"Onions, shallots, green",
490,Oranges,
600,Papayas,
534,Peaches and nectarines,
521,Pears,
187,"Peas, dry",Other
417,"Peas, green",
687,Pepper (piper spp.),
748,Peppermint,
587,Persimmons,
197,Pigeon peas,Pigeonpea
574,Pineapples,
223,Pistachios,
489,Plantains and others,
536,Plums and sloes,
296,Poppy seed,
116,Potatoes,
211,Pulses nes,Other
394,"Pumpkins, squash and gourds",
754,"Pyrethrum, dried",
523,Quinces,
92,Quinoa,
788,Ramie,
270,Rapeseed,
547,Raspberries,
27,"Rice, paddy",
149,Roots and tubers nes,
836,"Rubber, natural",
71,Rye,
280,Safflower seed,
328,Seed cotton,
289,Sesame seed,
789,Sisal,
83,Sorghum,
236,Soybeans,Soybean
723,Spices nes,
373,Spinach,
544,Strawberries,
423,String beans,
157,Sugar beet,
156,Sugar cane,
161,Sugar crops nes,
267,Sunflower seed,
122,Sweet potatoes,
305,Tallowtree seed,
495,"Tangerines, mandarins, clementines, satsumas",
136,Taro (cocoyam),
667,Tea,
826,"Tobacco, unmanufactured",
388,Tomatoes,
97,Triticale,
275,Tung nuts,
692,Vanilla,
463,"Vegetables, fresh nes",
420,"Vegetables, leguminous nes",
205,Vetches,Other
222,"Walnuts, with shell",
567,Watermelons,
15,Wheat,
137,Yams,
135,Yautia (cocoyam),
